X,Y,band1,band2,band3,band4,band5,band6,band7
1,916,58,33,25,14,11,116,10
1,917,53,33,22,15,10,117,9
1,918,54,34,21,14,10,117,9
1,919,52,34,23,14,10,117,10
1,920,56,34,23,14,11,117,10
1,921,55,32,22,14,11,118,10
1,922,53,34,22,14,9,118,10
1,923,56,34,22,14,10,117,9
1,924,56,35,23,15,11,117,9
1,925,54,35,22,14,11,117,11
1,926,53,32,21,13,9,117,10
1,927,51,33,23,15,11,118,8
1,928,55,35,24,13,10,118,9
1,929,54,37,25,14,11,117,9
1,930,56,38,28,16,11,117,12
1,931,56,39,26,14,7,117,10
1,932,59,38,35,21,25,117,21
1,933,59,38,35,21,25,118,21
1,934,63,48,47,43,53,118,38
1,935,59,46,40,66,43,123,30
1,936,51,34,26,60,27,123,17
1,937,50,37,30,74,33,125,20
1,938,53,39,34,78,52,125,30
1,939,55,42,34,71,54,126,31
1,940,54,44,38,77,57,126,30
1,941,56,41,33,86,59,128,32
1,942,55,43,35,83,59,128,33
1,943,59,47,41,92,72,131,38
1,944,58,47,42,92,73,131,40
1,945,61,52,49,89,83,130,49
1,946,58,49,45,89,78,130,42
1,947,57,48,41,96,73,130,38
1,948,58,50,41,99,71,130,39
1,949,58,46,40,94,70,130,43
1,950,58,42,33,100,61,130,34
1,951,54,44,36,106,60,129,28
1,952,53,44,34,102,57,129,28
1,953,55,44,34,104,53,130,26
1,954,54,43,30,95,54,130,28
1,955,55,43,33,92,60,131,31
1,956,57,40,34,86,52,131,30
1,957,57,43,34,82,51,131,27
1,958,54,44,35,93,53,131,29
1,959,55,40,36,83,49,128,28
1,960,54,39,31,53,30,128,18
1,961,52,37,26,41,18,123,12
1,962,52,37,29,59,30,123,20
1,963,53,39,28,74,36,122,20
1,964,54,41,30,88,46,122,24
1,965,52,43,30,86,45,123,23
1,966,54,40,32,87,46,123,24
1,967,54,43,32,83,51,125,27
1,968,55,41,33,90,54,125,26
1,969,55,44,36,97,58,128,29
1,970,54,46,34,86,62,128,32
1,971,55,39,32,54,46,123,32
1,972,54,36,30,49,36,123,22
1,973,53,41,29,79,43,127,22
1,974,54,44,33,93,53,127,28
1,975,54,44,36,98,61,130,30
1,976,55,46,34,107,66,130,31
1,977,55,44,35,102,63,130,31
1,978,53,41,36,86,62,130,32
1,979,54,41,33,85,52,128,29
1,980,56,43,35,91,52,128,27
1,981,53,41,33,89,49,128,26
1,982,55,43,34,100,54,128,29
1,983,55,41,34,89,50,129,23
1,984,56,43,33,102,55,129,27
1,985,54,44,34,105,58,125,32
1,986,58,46,36,93,56,125,29
1,987,61,48,37,87,52,119,29
1,988,59,45,37,87,53,119,31
1,989,69,53,48,96,63,119,38
1,990,100,84,77,108,81,119,56
1,991,104,86,87,116,93,126,65
1,992,80,68,68,110,79,126,48
1,993,71,58,54,106,73,131,44
1,994,65,54,45,104,72,131,36
1,995,73,62,58,112,78,127,47
1,996,85,73,70,114,91,127,60
1,997,72,56,50,81,61,118,40
1,998,60,46,38,70,44,118,28
1,999,76,60,54,82,60,114,45
1,1000,93,74,78,98,74,114,58
1,1001,108,89,93,109,77,107,58
1,1002,153,131,137,134,104,107,81
1,1003,204,178,194,160,146,105,121
1,1004,215,189,210,175,171,105,144
1,1005,211,190,211,181,171,105,145
1,1006,205,185,204,178,174,105,145
1,1007,206,192,219,194,193,110,165
1,1008,197,183,209,193,207,110,171
1,1009,128,110,115,146,140,121,108
1,1010,70,56,40,121,85,121,52
1,1011,61,52,42,144,95,135,44
1,1012,61,58,48,144,93,135,44
1,1013,62,56,44,129,76,127,36
1,1014,67,57,48,127,80,127,40
1,1015,69,60,58,122,82,121,48
1,1016,73,61,54,117,76,121,44
1,1017,94,75,75,117,89,118,68
1,1018,76,60,57,106,68,118,43
1,1019,91,79,80,115,89,117,63
1,1020,94,74,77,122,84,117,60
1,1021,76,63,60,120,68,118,44
1,1022,80,63,58,120,68,118,44
1,1023,91,71,71,117,77,118,54
1,1024,117,100,102,129,114,118,92
1,1025,92,76,77,111,90,117,71
1,1026,76,57,54,94,71,117,50
1,1027,65,52,42,92,61,122,40
1,1028,57,45,37,91,56,122,28
1,1029,56,44,37,86,52,126,28
1,1030,58,43,34,83,51,126,26
1,1031,58,49,39,114,74,130,40
1,1032,58,50,43,118,81,130,40
1,1033,60,51,41,110,83,130,42
1,1034,61,49,42,99,86,130,48
1,1035,60,49,44,88,88,132,53
1,1036,60,49,44,84,85,132,51
1,1037,58,48,41,90,83,135,46
1,1038,57,49,40,102,75,135,41
